ME,MAE,normMAE,RMS
0.9574475884437561,2.1012985706329346,0.4202597141265869,2.6495132446289062
0.9364578127861023,2.2853636741638184,0.4172484121474699,2.9168689250946045
0.6888312101364136,2.6752490997314453,0.42299402317331586,3.3690292835235596
0.36746126413345337,3.0118730068206787,0.4259431654391237,3.8015224933624268
0.5245271921157837,3.3344521522521973,0.4304759218132746,4.221042156219482
0.7251153588294983,3.6373002529144287,0.43474053230225507,4.62782096862793
0.21898199617862701,3.7969553470611572,0.43843463834534957,4.782793998718262
0.6780456304550171,4.019710540771484,0.44941730095187393,5.088977336883545
0.8820574283599854,4.280106544494629,0.4511628436265281,5.426118850708008
0.6399046778678894,4.4554829597473145,0.44554829597473145,5.6342453956604
0.9027801156044006,4.745309352874756,0.4524474942363291,6.080873489379883
0.8133711218833923,4.832010746002197,0.44110021394879484,6.122182846069336
0.21271494030952454,5.0094313621521,0.44805716217565844,6.374814510345459
0.6493447422981262,5.044571876525879,0.4424382218277731,6.505588531494141
0.43773898482322693,5.196227550506592,0.4391613822848184,6.5652899742126465
-0.12469957023859024,5.408865928649902,0.4416320537439115,6.805922508239746
0.13497529923915863,5.571334362030029,0.44045265475940026,7.047608375549316
-0.22374576330184937,5.791916370391846,0.44421970744224837,7.3603129386901855
-0.789277195930481,6.037119388580322,0.44998031137158556,7.631862640380859
-0.8901085257530212,6.132366180419922,0.44488860208725,7.760995864868164
-1.5094399452209473,6.3057708740234375,0.4458853345630595,8.095935821533203
